"Limited Edition Alpha"
"Limited Edition Beta"
"Unlimited Edition"
"Revised Edition"
"Fourth Edition"
"Fifth Edition"
"Classic Sixth Edition"
"Seventh Edition"
"Eighth Edition"
"Ninth Edition"
"Tenth Edition"
"Magic 2010"
"Magic 2011"
"Magic 2012"
"Magic 2013"
"Magic 2014 Core Set"
"Magic 2015 Core Set"
"Magic Origins"
