name	set_code	set_name
Guest List	UST	Unstable
Hard Hat Area	UST	Unstable
Head Banger	UST	Unstable
Hypnotic Swirly Disc	UST	Unstable
Inflation Station	UST	Unstable
Insufferable Syphon	UST	Unstable
Jamming Device	UST	Unstable
Lackey Recycler	UST	Unstable
Mandatory Friendship Shackles	UST	Unstable
Neural Network	UST	Unstable
Oaken Power Suit	UST	Unstable
Optical Optimizer	UST	Unstable
Pet Project	UST	Unstable
Quick-Stick Lick Trick	UST	Unstable
Rapid Prototyper	UST	Unstable
Record Store	UST	Unstable
Refibrillator	UST	Unstable
Sap Sucker	UST	Unstable
Sundering Fork	UST	Unstable
Targeting Rocket	UST	Unstable
Thud-for-Duds	UST	Unstable
Top-Secret Tunnel	UST	Unstable
Tread Mill	UST	Unstable
Turbo-Thwacking Auto-Hammer	UST	Unstable
Twiddlestick Charger	UST	Unstable
Widget Contraption	UST	Unstable
Plains	UST	Unstable
Island	UST	Unstable
Swamp	UST	Unstable
Mountain	UST	Unstable
Forest	UST	Unstable
Atinlay Igpay	UNH	Unhinged
AWOL	UNH	Unhinged
Bosom Buddy	UNH	Unhinged
Cardpecker	UNH	Unhinged
Cheap Ass	UNH	Unhinged
Circle of Protection: Art	UNH	Unhinged
Collector Protector	UNH	Unhinged
Drawn Together	UNH	Unhinged
Emcee	UNH	Unhinged
Erase (Not the Urza's Legacy One)	UNH	Unhinged
Fascist Art Director	UNH	Unhinged
First Come, First Served	UNH	Unhinged
Frankie Peanuts	UNH	Unhinged
Head to Head	UNH	Unhinged
Ladies' Knight	UNH	Unhinged
Little Girl	UNH	Unhinged
Look at Me, I'm R&D	UNH	Unhinged
Man of Measure	UNH	Unhinged
Save Life	UNH	Unhinged
Standing Army	UNH	Unhinged
Staying Power	UNH	Unhinged
Wordmail	UNH	Unhinged
_____	UNH	Unhinged
Ambiguity	UNH	Unhinged
Artful Looter	UNH	Unhinged
Avatar of Me	UNH	Unhinged
Brushstroke Paintermage	UNH	Unhinged
Bursting Beebles	UNH	Unhinged
Carnivorous Death-Parrot	UNH	Unhinged
Cheatyface	UNH	Unhinged
Double Header	UNH	Unhinged
Flaccify	UNH	Unhinged
Framed!	UNH	Unhinged
Greater Morphling	UNH	Unhinged
Johnny, Combo Player	UNH	Unhinged
Loose Lips	UNH	Unhinged
Magical Hacker	UNH	Unhinged
Mise	UNH	Unhinged
Moniker Mage	UNH	Unhinged
Mouth to Mouth	UNH	Unhinged
Now I Know My ABC's	UNH	Unhinged
Number Crunch	UNH	Unhinged
Question Elemental?	UNH	Unhinged
Richard Garfield, Ph.D.	UNH	Unhinged
Smart Ass	UNH	Unhinged
Spell Counter	UNH	Unhinged
Topsy Turvy	UNH	Unhinged
Aesthetic Consultation	UNH	Unhinged
Bad Ass	UNH	Unhinged
Bloodletter	UNH	Unhinged
Booster Tutor	UNH	Unhinged
Duh	UNH	Unhinged
Enter the Dungeon	UNH	Unhinged
Eye to Eye	UNH	Unhinged
The Fallen Apart	UNH	Unhinged
Farewell to Arms	UNH	Unhinged
Infernal Spawn of Infernal Spawn of Evil	UNH	Unhinged
Kill! Destroy!	UNH	Unhinged
Mother of Goons	UNH	Unhinged
Necro-Impotence	UNH	Unhinged
Persecute Artist	UNH	Unhinged
